ClientID;Name;Birthdate;City;Address;PhoneNumber
1;Juan Pérez;14/03/1990;Bogotá;Calle 123 #45-67;+57 301 1234567
2;María Gómez;22/07/1985;Medellín;Carrera 54 #32-12;+57 310 7654321
3;Andrés López;11/09/1978;Cali;Avenida 6 Norte #23-45;+57 320 9876543
4;Luisa Martínez;30/01/1992;Cartagena;Calle de la Esperanza #78-90;+57 300 4567890
5;Carlos Rodríguez;25/11/1980;Barranquilla;Carrera 21 #14-56;+57 311 2345678
6;Ana Torres;18/04/1989;Bucaramanga;Calle Real #34-56;+57 312 3456789
7;David Ramírez;7/08/1983;Manizales;Carrera 10 #11-22;+57 313 4567890
8;Paula Jiménez;14/05/1995;Pereira;Calle 9 #8-12;+57 314 5678901
9;Jorge Moreno;20/10/1982;Ibagué;Avenida Principal #12-34;+57 315 6789012
10;Laura Castro;5/12/1991;Santa Marta;Carrera 7 #6-14;+57 316 7890123
11;Ricardo Suárez;27/02/1987;Pasto;Calle 8 #5-19;+57 317 8901234
12;Isabel Vásquez;15/06/1984;Cúcuta;Carrera 3 #2-18;+57 318 9012345
13;Tomás Pardo;10/11/1993;Armenia;Avenida Central #21-22;+57 319 0123456
14;Sofía Ruiz;29/03/1996;Neiva;Calle 10 #7-23;+57 320 1234567
15;Sergio León;6/07/1988;Villavicencio;Carrera 4 #3-16;+57 321 2345678
16;Natalia Herrera;17/09/1990;Popayán;Avenida 5 #4-20;+57 322 3456789
17;Miguel Díaz;23/01/1981;Montería;Calle 15 #9-30;+57 323 4567890
18;Valentina Mendoza;8/05/1994;Valledupar;Carrera 2 #1-11;+57 324 5678901
19;Francisco Ortiz;14/11/1986;Sincelejo;Avenida 3 #2-12;+57 325 6789012
20;Camila Romero;25/06/1992;Tunja;Calle 20 #10-45;+57 326 7890123
